Ordem,Equipamento,Subequipamento,Descricao,Data manutencao,Data Termino,Horas Gastas,Narrativa
74,Embalagem,Cinta,Embalagem Mecânica sistema de embalagem whey protein,01/02/2030,01/02/2030,2,Ajuste no funcionamento das esteiras e engrenagens.
75,Misturador,Motor,Misturador Elétrica sistema de mistura whey protein,01/03/2030,01/03/2030,2,Inspeção no sistema de mistura elétrica, ajustes no circuito.
76,Misturador,Blades,Misturador Mecânica sistema de mistura whey protein,01/04/2030,01/04/2030,3,Lubrificação de componentes mecânicos e verificação de desgaste.
77,Secador,Resistência,Secador Pneumática sistema de secagem whey protein,01/05/2030,01/05/2030,2.5,Inspeção na parte pneumática, ajuste de válvulas.
78,Filtragem,Filtro,Filtragem Hidráulica sistema de filtragem whey protein,01/06/2030,01/06/2030,3,Reparo de vazamento hidráulico e troca de filtros.
79,Embalagem,Cinta,Embalagem Mecânica sistema de embalagem whey protein,01/07/2030,01/07/2030,2,Ajuste no funcionamento das esteiras e engrenagens.
80,Misturador,Motor,Misturador Elétrica sistema de mistura whey protein,01/08/2030,01/08/2030,2,Inspeção no sistema de mistura elétrica, ajustes no circuito.
81,Misturador,Blades,Misturador Mecânica sistema de mistura whey protein,01/09/2030,01/09/2030,3,Lubrificação de componentes mecânicos e verificação de desgaste.
82,Secador,Resistência,Secador Pneumática sistema de secagem whey protein,01/10/2030,01/10/2030,2.5,Inspeção na parte pneumática, ajuste de válvulas.
83,Filtragem,Filtro,Filtragem Hidráulica sistema de filtragem whey protein,01/11/2030,01/11/2030,3,Reparo de vazamento hidráulico e troca de filtros.
84,Embalagem,Cinta,Embalagem Mecânica sistema de embalagem whey protein,01/12/2030,01/12/2030,2,Ajuste no funcionamento das esteiras e engrenagens.
85,Misturador,Motor,Misturador Elétrica sistema de mistura whey protein,01/01/2031,01/01/2031,2,Inspeção no sistema de mistura elétrica, ajustes no circuito.
86,Misturador,Blades,Misturador Mecânica sistema de mistura whey protein,01/02/2031,01/02/2031,3,Lubrificação de componentes mecânicos e verificação de desgaste.
87,Secador,Resistência,Secador Pneumática sistema de secagem whey protein,01/03/2031,01/03/2031,2.5,Inspeção na parte pneumática, ajuste de válvulas.
88,Filtragem,Filtro,Filtragem Hidráulica sistema de filtragem whey protein,01/04/2031,01/04/2031,3,Reparo de vazamento hidráulico e troca de filtros.
89,Embalagem,Cinta,Embalagem Mecânica sistema de embalagem whey protein,01/05/2031,01/05/2031,2,Ajuste no funcionamento das esteiras e engrenagens.
90,Misturador,Motor,Misturador Elétrica sistema de mistura whey protein,01/06/2031,01/06/2031,2,Inspeção no sistema de mistura elétrica, ajustes no circuito.
91,Misturador,Blades,Misturador Mecânica sistema de mistura whey protein,01/07/2031,01/07/2031,3,Lubrificação de componentes mecânicos e verificação de desgaste.
92,Secador,Resistência,Secador Pneumática sistema de secagem whey protein,01/08/2031,01/08/2031,2.5,Inspeção na parte pneumática, ajuste de válvulas.
93,Filtragem,Filtro,Filtragem Hidráulica sistema de filtragem whey protein,01/09/2031,01/09/2031,3,Reparo de vazamento hidráulico e troca de filtros.
94,Embalagem,Cinta,Embalagem Mecânica sistema de embalagem whey protein,01/10/2031,01/10/2031,2,Ajuste no funcionamento das esteiras e engrenagens.
95,Misturador,Motor,Misturador Elétrica sistema de mistura whey protein,01/11/2031,01/11/2031,2,Inspeção no sistema de mistura elétrica, ajustes no circuito.
96,Misturador,Blades,Misturador Mecânica sistema de mistura whey protein,01/12/2031,01/12/2031,3,Lubrificação de componentes mecânicos e verificação de desgaste.
97,Secador,Resistência,Secador Pneumática sistema de secagem whey protein,01/01/2032,01/01/2032,2.5,Inspeção na parte pneumática, ajuste de válvulas.
98,Filtragem,Filtro,Filtragem Hidráulica sistema de filtragem whey protein,01/02/2032,01/02/2032,3,Reparo de vazamento hidráulico e troca de filtros.
99,Embalagem,Cinta,Embalagem Mecânica sistema de embalagem whey protein,01/03/2032,01/03/2032,2,Ajuste no funcionamento das esteiras e engrenagens.
100,Misturador,Motor,Misturador Elétrica sistema de mistura whey protein,01/04/2032,01/04/2032,2,Inspeção no sistema de mistura elétrica, ajustes no circuito.
